United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses",Murder and Nonnegligent Manslaughter,"Negligent
Manslaughter","Justifiable
Homicide","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With An
Object",Fondling,"Sex
Offenses,
Nonforcible",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit Card/
Automated
Teller
Machine Fraud","Imperson-
ation","Welfare
Fraud","Wire
Fraud","Larceny-
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin-
operated
Machine","Theft
From
Motor
Vehicle","Theft of
Motor
Vehicle
Parts or
Accessories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses ","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Porno-
graphy/
Obscene
Material","Prost-
itution
Offenses","Prost-
itution","Assisting
or Pro-
moting
Prost-
itution","Weapon
Law
Violations"
,,Newport News,"181,591","4,214",416,"3,083",715,20,20,,,60,126,50,19,8,49,8,1,7,71,,"1,028",302,"2,582",62,1,"1,279",258,633,361,,27,"4,491",12,4,593,689,4,"1,197",482,"1,510",267,273,35,"1,638","1,600",38,2,2,,,,5,92,91,1,840
,,Norfolk,"245,303","4,618",737,"3,112",769,36,34,,2,44,232,76,26,12,118,5,,5,58,,"2,108",205,"3,600",62,,637,263,180,181,1,12,"8,450",8,6,"1,772",339,13,"2,095","1,330","2,887",677,491,22,"1,461","1,214",247,5,5,,,,8,148,148,,169
,,Norton,"4,099",67,4,60,3,1,,1,,4,1,,,,1,,,,,,11,6,45,5,,24,9,6,7,,2,202,,,130,39,,12,1,20,3,,,51,44,7,,,,,,2,,,,7
,,Occoquan,986,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
,,Onancock,"1,284",10,,9,1,,,,,,2,2,,,,,,,,,3,,25,,,,,,,,,13,,,,5,,3,,5,,,,3,3,,,,,,,,,,,
,,Onley,524,4,,4,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,4,,1,2,,,,,1,,,,,,,,,,,,,,,,
,,Orange,"4,831",60,1,59,,,,,,,2,1,,,1,,,,,,12,7,48,9,,24,12,10,,,2,118,1,,28,29,,19,2,39,2,1,,49,32,17,,,,,,,,,,2
,,Parksley,854,6,,6,,,,,,,1,1,,,,,,,,,1,,6,,,,,,,,,11,,,7,3,,,,1,1,1,,,,,,,,,,,,,,
,,Pearisburg,"2,791",10,1,9,,,,,,,1,1,,,,,,,1,,4,5,9,8,,16,8,5,2,1,,94,,,51,9,,6,1,27,,,,32,30,2,,,,,,,,,,3
,,Pembroke,"1,128",10,1,9,,,,,,,2,,,,2,,,,,,6,2,7,1,,5,2,3,,,,31,,,10,2,,1,2,16,,,,2,2,,,,,,,,,,,
,,Pennington Gap,"1,857",16,,16,,,,,,,,,,,,,,,2,,17,,15,,,,,,,,,56,2,1,6,2,,4,2,39,,1,,20,16,4,,,,,,,1,1,,1
,,Petersburg,"32,682",727,104,550,73,5,5,,,1,21,7,4,1,9,4,,4,5,,379,21,469,17,,82,38,27,17,,,841,2,2,90,111,2,220,163,251,99,56,13,637,613,24,,,,,,1,2,1,1,109
,,Pocahontas,389,1,1,,,2,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Poquoson,"12,132",158,10,117,31,,,,,1,3,,1,,2,2,1,1,4,,3,10,107,,,5,1,2,2,,,30,,,9,1,,1,8,11,1,,,70,63,7,,,,,,1,,,,8
,,Portsmouth,"96,739","2,890",230,"2,327",333,12,11,1,,58,115,41,19,11,44,2,1,1,14,,"1,224",145,"1,795",48,2,725,477,122,118,1,7,"3,447",8,6,563,317,12,727,533,"1,281",215,183,43,635,601,34,2,,,2,,2,12,9,3,219
,,Pound,"1,051",7,1,6,,,,,,,,,,,,1,1,,,,5,,11,1,,,,,,,,10,,,3,3,2,1,,1,1,,,1,1,,,,,,,,,,,2
,,Pulaski,"9,116",146,25,111,10,,,,,7,15,3,1,11,,,,,2,,57,69,152,32,,102,84,15,2,1,,282,,1,65,91,5,36,4,80,10,7,2,171,159,12,,,,,,4,,,,22
,,Purcellville,"8,132",45,3,30,12,,,,,,2,1,,,1,,,,,,3,1,20,,,18,7,8,1,,2,55,,,5,10,,18,2,20,2,,2,24,17,7,,,,,,,1,1,,3
,,Radford,"16,595",347,59,273,15,1,1,,,2,23,9,2,3,9,,,,2,,103,82,292,3,,166,108,38,20,,,341,,,50,16,10,55,22,188,19,9,6,369,240,129,,,,,,3,,,,22
,,Rich Creek,776,2,,2,,,,,,,1,1,,,,,,,,,,,6,,,,,,,,,1,,,1,,,,,,,,,5,5,,,,,,,,,,,
,,Richlands,"5,839",69,5,61,3,,,,,1,2,,,,2,,,,3,,49,20,62,2,,29,25,4,,,,216,1,3,33,3,,30,1,145,4,4,3,47,39,8,,,,,,,,,,4
,,Richmond,"207,799","5,139",639,"4,197",303,45,42,1,2,67,104,38,9,,57,4,,4,50,1,"2,005",303,"3,802",74,2,852,239,311,255,2,45,"6,197",17,22,813,"1,427",10,"1,567",632,"1,709",920,635,48,"2,298","2,237",61,4,1,,3,,20,110,105,5,726
,,Roanoke,"97,780","5,341",354,"3,705","1,282",10,9,,1,32,106,40,15,4,47,2,,2,42,1,945,72,"2,006",57,2,420,204,130,77,,9,"3,620",5,4,"1,048",144,13,503,255,"1,648",244,141,13,"1,840","1,689",151,,,,,,7,57,57,,240
,,Rocky Mount,"4,873",59,12,45,2,,,,,,6,2,1,,3,,,,,,17,3,42,4,,16,8,6,2,,,192,,1,94,2,,18,2,75,4,,,71,60,11,,,,,,1,,,,5
,,Rural Retreat,"1,498",1,,1,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,7,,,,3,,,,4,,,,,,,,,,,,,,,,
,,Salem,"25,236",376,3,373,,,,,,2,6,,,1,5,,,,,,75,21,256,22,,60,32,27,,,1,478,,,135,146,3,73,21,100,27,5,2,201,193,8,,,,,,,3,3,,17
,,Saltville,"2,089",23,2,21,,,,,,1,1,,,1,,,,,,,19,2,18,,,3,2,1,,,,47,,1,5,4,,6,3,28,2,,1,17,14,3,,,,,,,,,,1
,,Shenandoah,"2,392",16,3,13,,,,,,,,,,,,,,,,,17,,11,1,,2,,2,,,,36,,1,2,7,,8,6,12,2,,1,13,12,1,,,,,,,,,,1
,,Smithfield,"8,197",90,9,74,7,1,1,,,1,,,,,,,,,1,,8,10,77,1,,18,13,,,1,4,92,,,27,4,1,13,7,40,4,4,1,53,53,,,,,,,,4,3,1,6
,,South Boston,"8,191",197,20,176,1,,,,,2,4,1,,,3,,,,1,,76,11,153,13,,35,17,9,9,,,329,1,1,91,8,,44,16,168,13,8,,55,51,4,,,,,,,,,,11
,,South Hill,"4,686",97,12,84,1,,,,,,5,2,,,3,,,,,,18,3,65,6,,5,2,,2,,1,159,,,65,15,,25,2,52,14,6,2,,,,,,,,,,,,,3
,,St. Paul,985,7,3,4,,,,,,,1,1,,,,,,,,,3,2,8,,,,,,,,,30,,,14,3,,5,,8,,,,7,6,1,,,,,,,,,,1
,,Stanley,"1,702",7,,7,,,,,,,1,1,,,,,,,,,5,,3,,,,,,,,,25,,,4,2,,5,3,11,1,,,5,4,1,,,,,,1,,,,
,,Staunton,"24,031",341,23,311,7,1,,1,,4,38,8,1,2,27,4,,4,5,,58,76,226,18,,129,79,47,1,,2,457,2,5,94,45,1,95,17,198,9,11,17,177,158,19,,,,,,4,2,1,1,35
,,Stephens City,"1,881",37,,37,,,,,,,1,1,,,,,,,,,2,2,20,,,1,,,,,1,35,,,6,4,,11,,14,1,,,,,,,,,,,1,,,,
,,Strasburg,"6,514",34,7,26,1,,,,,,5,,,,5,,,,1,,6,2,58,,,13,8,4,1,,,81,,,4,75,,1,,1,,1,,21,20,1,,,,,,,,,,3
,,Tappahannock,"2,411",46,6,40,,,,,,4,4,3,,,1,,,,,,25,11,47,3,,21,8,9,4,,,122,,,55,3,,6,3,55,1,2,2,72,72,,,,,,,,,,,7
,,Tazewell,"4,640",66,6,60,,,,,,1,2,1,,,1,,,,1,,38,42,42,,,8,5,3,,,,87,1,,12,5,,8,4,57,2,,3,35,34,1,,,,,,,,,,3
,,Timberville,"2,560",5,,5,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,7,,,2,,1,2,,2,,,1,,,,,,,,,,,,,
,,Victoria,"1,739",24,6,18,,,,,,,,,,,,,,,2,,4,,11,,,1,1,,,,,12,,,2,1,,1,1,7,1,1,,3,3,,,,,,,,,,,
,,Vienna,"16,140",92,2,82,8,,,,,,2,1,,,1,,,,,,30,8,122,1,1,63,31,14,18,,,153,,,14,22,,30,,87,5,3,1,69,67,2,,,,,,2,4,2,2,6
,,Vinton,"8,220",249,33,200,16,,,,,,5,1,1,,3,,,,,,23,16,159,3,,78,30,41,6,,1,220,38,,74,24,,24,1,59,5,2,,79,69,10,,,,,,3,,,,13
,,Virginia Beach,"447,588","6,487",357,"5,292",838,21,21,,,56,203,58,30,14,101,14,,14,123,,"1,558",474,"3,636",274,17,"1,770","1,470",236,18,41,5,"9,699",24,18,"1,798","1,378",28,"3,791",8,"2,654",487,326,45,"2,786","2,024",762,19,11,8,,,21,56,45,11,547
,,Warrenton,"9,842",108,15,87,6,,,,,3,12,3,4,1,4,,,,,,17,12,122,6,2,36,13,17,5,,1,172,,,43,16,,51,10,52,2,4,,86,75,11,,,,,,2,1,1,,5
,,Warsaw,"1,524",4,,4,,,,,,,,,,,,,,,,,2,1,7,,,2,,2,,,,14,,,5,3,,5,,1,1,,,6,6,,,,,,,,,,,
,,Waverly,"2,174",15,5,10,,,,,,2,1,1,,,,,,,1,,3,1,17,2,,2,,1,1,,,18,,,3,2,,,,13,1,,,12,9,3,,,,,,,,,,4
,,Waynesboro,"21,546",494,50,432,12,,,,,4,36,11,2,1,22,,,,1,,88,39,313,14,,100,35,49,12,1,3,627,,,211,7,5,110,55,239,38,9,5,140,114,26,,,,,,4,,,,29
,,Weber City,"1,329",3,,3,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,16,,,4,2,,2,,8,,1,,24,21,3,,,,,,,,,,2
,,West Point,"3,352",29,1,27,1,,,,,,2,1,,,1,,,,,,18,6,28,,,11,2,8,,,1,34,,,8,6,,3,1,16,4,,1,10,9,1,,,,,,,,,,6
,,White Stone,352,,,,,,,,,,,,,,,,,,,,,,1,,,3,,3,,,,3,,,,,,1,,2,,,,,,,,,,,,,,,,
,,Williamsburg,"14,603",180,10,164,6,,,,,6,8,2,5,1,,,,,,,27,8,107,7,,35,20,6,9,,,227,,,38,52,,50,3,84,9,8,1,76,70,6,,,,,,,,,,7
,,Winchester,"26,880",709,33,674,2,,,,,8,32,9,1,12,10,,,,5,,166,37,352,20,,166,97,68,,,1,"1,017",,1,328,2,5,191,50,440,29,17,15,523,354,169,,,,,,3,3,3,,36
,,Windsor,"2,662",30,3,27,,,,,,,,,,,,,,,,,13,1,15,,,4,4,,,,,44,,,4,9,,10,2,19,,,,13,12,1,,,,,,,,,,2
,,Wise,"3,332",35,8,27,,,,,,,1,,1,,,,,,,,9,6,27,3,,10,6,4,,,,71,,,27,10,,10,2,22,4,1,2,21,19,2,,,,,,,,,,2
,,Woodstock,"5,189",42,5,37,,,,,,3,12,3,,,9,2,1,1,1,,19,14,57,5,,35,21,12,2,,,159,,,52,53,,34,,20,7,1,2,60,60,,,,,,,4,,,,3
,,Wytheville,"8,293",47,11,35,1,,,,,2,3,,,,3,1,1,,,,7,20,53,2,,32,17,12,2,1,,147,1,,40,14,,20,9,63,5,5,2,75,54,21,,,,,,1,,,,7
,Universities and Colleges,Christopher Newport University,"4,990",23,1,5,17,,,,,,1,,1,,,,,,,,6,,42,,,2,,2,,,,155,,,1,45,,10,,99,1,,2,49,34,15,,,,,,3,,,,3
,,College of William and Mary,"8,200",19,,18,1,,,,,,,,,,,,,,1,,11,2,63,,,2,,2,,,,200,,,,32,,8,1,159,1,,,8,8,,,,,,,,,,,
,,Emory and Henry College,982,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
,,Ferrum College,"1,512",10,,9,1,,,,,,4,3,,1,,,,,,,19,,17,,,2,,2,,,,24,,,1,11,,1,,11,1,2,,18,16,2,,,,,,,,,,3
,,George Mason University,"33,320",31,,30,1,,,,,1,1,,,,1,,,,2,,37,6,87,3,,13,3,10,,,,206,,,,130,2,17,1,56,3,1,5,187,118,69,,,,,,,,,,1
,,Hampton University,"5,221",17,3,9,5,,,,,,,,,,,,,,1,,18,3,22,1,,3,,3,,,,59,,,,18,,5,,36,1,1,,4,3,1,,,,,,,,,,
,,James Madison University,"19,722",13,,11,2,,,,,,1,1,,,,,,,,,3,3,91,,,15,1,12,,,2,128,,,1,67,1,25,2,32,1,,2,44,33,11,,,,,,,,,,
,,J. Sargeant Reynolds Community College,"13,367",4,1,3,,,,,,,,,,,,,,,,,,1,16,,,,,,,,,18,,,,2,2,,,14,,,,1,1,,,,,,,1,,,,
,,Longwood University,"4,860",16,,14,2,,,,,,1,,1,,,,,,,,2,,27,,,3,,2,1,,,45,,,,9,,16,,20,2,1,1,18,17,1,,,,,,,,,,2
,,Norfolk State University,"7,091",26,3,23,,,,,,,3,2,1,,,,,,3,,20,3,54,,,8,,8,,,,113,,1,7,67,,25,3,10,2,3,,2,1,1,,,,,,,,,,1
,,Northern Virginia Community College,"50,044",6,,5,1,,,,,,,,,,,,,,,,,,21,,,,,,,,,30,1,,1,11,,5,6,6,,1,,4,4,,,,,,,,,,,
,,Old Dominion University,"24,753",137,10,89,38,,,,,1,9,5,,1,3,,,,1,,40,5,256,1,1,18,8,9,,,1,283,2,,2,107,,76,7,89,9,8,3,35,33,2,,,,,,,,,,4
,,Radford University,"9,370",30,3,18,9,,,,,1,4,2,,1,1,,,,1,,2,,98,,,3,1,2,,,,60,,,1,30,,5,,24,2,,2,100,60,40,,,,,,,,,,
,,Richard Bland College,"1,629",4,,1,3,,,,,,,,,,,,,,,,8,,10,,,,,,,,,6,,,,,,,,6,,,,2,1,1,,,,,,,,,,
,,Thomas Nelson Community College,"10,999",2,1,1,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,9,,,1,4,,2,,2,,,,,,,,,,,,,,,,1
,,University of Mary Washington,"5,170",9,2,6,1,,,,,,2,,,,2,,,,4,,1,,47,,,,,,,,,77,,,,31,,9,,37,,2,,19,16,3,,,,,,,,,,
,,University of Richmond,"4,348",12,,10,2,,,,,,,,,,,,,,1,,18,,83,,,3,2,1,,,,77,,,,41,,3,2,31,5,,,40,20,20,,,,,,,,,,
,,University of Virginia,"24,297",72,2,61,9,,,,,1,6,1,,,5,,,,2,,61,2,70,1,,12,7,3,2,,,228,,,2,109,1,14,4,98,10,1,1,42,42,,,,,,,1,,,,3
,,University of Virginia's College at Wise,"2,067",3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,
,,Virginia Commonwealth University,"31,627",156,14,128,14,,,,,,3,,,1,2,,,,1,,16,9,80,,,42,7,10,25,,,548,1,,11,99,,20,,417,10,7,1,281,277,4,,,,,,1,,,,38
,,Virginia Military Institute,"1,605",4,,4,,,,,,,1,,,,1,,,,1,,30,,20,,,,,,,,,15,,,,4,,2,,9,,,,4,3,1,,,,,,,,,,
,,Virginia Polytechnic Institute and State University,"30,936",53,7,38,8,,,,,1,7,4,,,3,,,,1,,27,8,85,2,,17,2,10,5,,,162,5,,3,37,,11,3,103,2,,3,83,50,33,,,,,,,,,,6
,,Virginia State University,"5,890",42,6,36,,,,,,,1,,,1,,,,,1,,3,2,24,,,7,2,4,,,1,107,,,,72,,12,11,12,4,2,1,29,24,5,,,,,,,,,,
,,Virginia Western Community College,"8,557",5,,2,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,1,,1,,4,,,,,,,,,,,,,,,,
,Metropolitan Counties,Albemarle County Police Department,,"1,043",56,819,168,4,4,,,12,75,23,9,3,40,1,,1,12,,238,35,853,24,6,351,169,90,69,3,20,"1,215",,,330,42,1,207,79,556,53,18,11,333,232,101,,,,,,9,4,4,,59
,,Amelia,,167,23,135,9,,,,,2,7,1,,1,5,1,,1,1,,35,2,46,2,,15,2,10,3,,,107,,1,3,22,,16,6,59,11,,1,42,42,,,,,,,,1,1,,18
,,Amherst,,150,7,142,1,,,,,1,14,7,2,2,3,,,,2,,61,9,120,4,,25,10,13,2,,,373,1,,66,35,,41,17,213,14,1,,215,211,4,,,,,,4,,,,12
,,Appomattox,,18,4,14,,,,,,2,5,,1,,4,2,1,1,,,34,1,29,1,,9,7,2,,,,95,,,18,36,,14,4,23,4,1,2,50,48,2,,,,,,,,,,7
,,Arlington County Police Department,,"1,081",153,817,111,5,5,,,28,107,31,5,6,65,1,,1,4,,287,176,949,69,6,"1,097",260,475,343,,19,"3,491",23,2,714,"1,068",7,716,340,621,182,118,56,826,790,36,3,1,1,1,,4,34,24,10,52
,,Augusta,,227,75,124,28,2,2,,,12,13,7,3,,3,7,,7,3,1,132,27,266,20,2,124,77,39,1,,7,684,2,,45,99,4,173,25,336,39,2,8,156,150,6,,,,,,16,,,,28
,,Bedford,,794,28,697,69,1,1,,,2,30,5,5,1,19,6,,6,2,,225,21,304,7,,126,65,59,,1,1,498,1,,94,118,,78,39,168,31,2,,222,211,11,,,,,,14,1,1,,25
,,Botetourt,,211,21,175,15,,,,,4,14,3,1,,10,1,1,,2,,72,14,94,10,,45,28,11,1,,5,207,,1,19,57,2,31,20,77,10,1,6,130,130,,,,,,,4,,,,19
,,Buckingham,,172,20,147,5,,,,,,11,4,2,,5,,,,1,,94,8,150,2,,13,11,1,,,1,172,,,5,24,1,15,7,120,21,4,2,97,90,7,,,,,,4,,,,17
,,Campbell,,461,38,413,10,3,2,1,,5,36,13,3,1,19,3,,3,2,,152,21,267,6,,105,16,73,3,4,9,578,,,61,34,1,66,39,377,36,9,2,200,194,6,,,,,,12,,,,43
,,Caroline,,349,17,310,22,1,1,,,11,40,9,9,5,17,1,,1,9,,88,9,166,5,2,91,29,31,31,,,351,,,8,5,,29,1,308,11,7,4,182,178,4,,,,,,5,,,,41
,,Charles City,,26,4,22,,,,,,1,,,,,,,,,,,1,1,8,,,,,,,,,8,,,,1,,1,2,4,,,,6,6,,,,,,,,,,,1
,,Chesterfield County Police Department,,"5,888",185,"5,124",579,11,10,,1,46,252,52,11,2,187,11,2,9,73,1,"1,653",202,"3,380",115,5,"1,545",836,632,6,,71,"5,106",8,,"1,083",666,19,"1,126",414,"1,790",291,149,61,"2,056","2,045",11,1,,1,,,30,62,58,4,433
,,Clarke,,138,15,93,30,,,,,,2,1,,,1,,,,3,,40,3,16,1,2,25,7,15,,,3,96,,,1,5,,5,,85,6,,5,34,31,3,,,,,,1,,,,18
,,Craig,,35,5,30,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,6,,,,,,,,6,,,1,6,6,,,,,,,,,,,4
,,Culpeper,,337,19,298,20,,,,,5,17,5,,1,11,1,,1,1,,67,12,164,2,,88,44,34,6,,4,220,,1,20,39,,26,10,124,23,1,2,172,150,22,,,,,,6,4,2,2,25
,,Dinwiddie,,163,35,115,13,2,2,,,8,27,8,4,5,10,,,,3,,113,19,131,8,,64,36,14,14,,,359,16,,3,,,1,,339,30,6,2,143,142,1,,,,,,1,,,,31
,,Fairfax County Police Department,,"7,629",383,"6,141","1,105",15,15,,,145,345,107,33,26,179,7,2,5,70,2,"1,068",391,"7,342",253,12,"2,565",348,664,"1,535",4,14,"12,927",57,46,"2,760","2,580",10,"3,820",580,"3,074",801,344,78,"5,027","4,234",793,14,13,1,,,93,85,69,16,504
,,Fauquier,,499,17,443,39,2,2,,,3,60,9,6,3,42,,,,10,2,95,19,429,10,,158,38,76,40,,4,426,2,,23,97,,82,15,207,30,4,1,544,497,47,,,,,,5,1,,1,53
,,Floyd,,51,7,44,,,,,,1,5,3,1,,1,,,,2,,29,4,61,1,,15,6,7,,,2,110,,1,5,20,,11,4,69,6,,,42,36,6,,,,,,2,1,1,,11
,,Fluvanna,,192,13,158,21,,,,,4,12,3,1,,8,1,,1,4,,57,3,118,5,,45,6,27,4,,8,144,,,8,38,,15,4,79,7,,1,43,42,1,,,,,,2,,,,6
,,Franklin,,231,28,199,4,,,,,,17,6,1,,10,1,,1,1,,129,16,228,4,,64,37,19,5,,3,435,,1,14,136,2,56,14,212,40,3,1,176,147,29,,,,,,5,,,,26
,,Frederick,,"1,119",43,"1,011",65,2,2,,,7,73,27,1,,45,3,,3,2,,296,59,736,21,,149,127,,2,,20,"1,199",1,1,234,279,3,342,27,312,89,11,13,269,252,17,,,,,,19,1,1,,61
,,Giles,,67,4,61,2,,,,,4,10,3,1,,6,,,,,,29,9,41,3,,8,2,6,,,,96,,,3,12,,5,5,71,6,,1,162,151,11,,,,,,3,,,,12
,,Gloucester,,478,16,444,18,2,2,,,2,17,8,2,3,4,,,,3,,89,12,172,11,,95,74,5,16,,,604,,,36,2,,7,7,552,10,6,1,185,185,,,,,,,6,,,,11
,,Goochland,,96,14,76,6,2,2,,,,,,,,,,,,,,50,10,80,7,,56,11,19,26,,,163,41,,,,,,,122,7,,3,43,43,,,,,,,,,,,13
,,Greene,,258,11,238,9,,,,,1,12,8,1,2,1,,,,2,,30,2,156,9,,34,19,7,6,2,,211,,,73,12,,30,7,89,9,,,64,45,19,,,,,,2,1,,1,7
,,Hanover,,694,57,606,31,5,5,,,5,34,6,2,3,23,2,,2,3,,99,50,345,25,,196,79,42,74,1,,840,,,186,272,2,151,19,210,44,17,18,426,417,9,,,,,,5,3,3,,47
,,Henrico County Police Department,,"3,115",298,"2,780",37,15,14,,1,49,42,20,4,,18,1,,1,56,,"1,185",249,"2,577",117,3,"1,180","1,175",,5,,,"6,285",13,7,"1,570","1,426",14,"1,470",384,"1,401",360,226,50,"1,416","1,314",102,1,,,1,,3,107,,107,222
,,Isle of Wight,,270,20,222,28,3,3,,,4,12,3,,,9,,,,5,,80,9,203,4,,54,43,2,,,9,331,1,,6,43,,94,15,172,19,6,2,87,77,10,,,,,,3,,,,20
,,James City County Police Department,,809,42,663,104,1,1,,,13,37,14,7,3,13,,,,9,,152,55,393,12,,272,87,125,50,1,9,796,1,,139,184,10,262,26,174,17,15,,210,195,15,,,,,,3,1,1,,40
,,King William,,72,12,58,2,,,,,1,6,,1,,5,,,,,,22,2,14,1,,6,6,,,,,67,,,4,2,,10,2,49,7,,,12,12,,,,,,,,1,1,,3
,,Loudoun,,"2,080",134,"1,708",238,1,1,,,23,140,48,13,12,67,4,,4,29,3,301,78,"1,449",63,10,929,547,343,17,1,21,"2,503",2,9,386,435,1,754,65,851,125,36,11,"1,095",860,235,1,1,,,,27,28,7,21,91
,,Mathews,,56,5,51,,,,,,,4,3,,,1,,,,1,,17,2,53,,,9,,8,,,1,96,,,4,10,,10,2,70,5,,,6,5,1,,,,,,,,,,4
,,Montgomery,,466,28,355,83,,,,,6,22,6,,3,13,2,,2,7,,128,7,243,6,,83,40,36,6,,1,316,,,6,5,2,34,16,253,22,1,1,198,146,52,,,,,,1,,,,28
,,Nelson,,116,13,103,,,,,,9,14,1,1,2,10,,,,1,,69,7,105,4,,25,9,12,2,,2,165,,1,2,22,,8,8,124,12,1,2,37,35,2,,,,,,1,,,,11
,,New Kent,,216,14,182,20,1,,1,,4,10,3,,1,6,,,,1,,100,25,186,9,,95,31,48,14,,2,221,,,9,61,1,28,14,108,9,1,13,103,93,10,,,,,,4,,,,28
,,Powhatan,,103,5,98,,,,,,1,10,1,3,1,5,1,,1,1,,66,3,101,1,1,20,3,16,,1,,161,,,8,45,,34,,74,8,2,1,47,47,,,,,,,,,,,13
,,Prince George County Police Department,,270,19,235,16,,,,,,28,5,3,2,18,1,,1,1,,83,9,192,5,,70,20,28,13,1,8,331,,,34,92,1,99,24,81,31,8,2,162,158,4,,,,,,3,,,,28
,,Prince William County Police Department,,"4,151",368,"3,481",302,2,2,,,73,229,44,21,12,152,16,,16,56,,925,218,"2,237",99,9,"1,192",566,336,279,,11,"5,657",3,1,"1,251",546,2,"1,859",513,"1,482",354,214,122,"2,116","2,063",53,1,,1,,,23,21,,21,213
,,Pulaski,,490,25,442,23,1,1,,,9,37,5,1,3,28,,,,3,,138,77,287,16,2,201,114,71,13,3,,551,1,1,172,,8,19,6,344,26,4,1,137,128,9,,,,,,2,,,,25
,,Rappahannock,,36,3,33,,,,,,,3,3,,,,,,,,,3,1,16,,,3,1,2,,,,15,,,,6,,,1,8,,,,41,29,12,,,,,,,,,,3
,,Roanoke County Police Department,,"1,086",76,891,119,2,2,,,19,65,17,8,5,35,3,,3,1,,285,37,366,20,1,306,134,97,63,4,8,941,4,,312,310,2,105,35,173,38,12,9,576,395,181,,,,,,4,3,3,,63
,,Rockingham,,111,37,72,2,,,,,2,44,11,2,10,21,3,,3,,,133,15,176,4,,44,21,16,5,,2,239,1,,19,4,,98,14,103,7,4,7,51,40,11,,,,,,5,,,,12
,,Scott,,153,8,130,15,,,,,10,17,6,,,11,,,,3,,90,22,120,1,2,35,20,14,1,,,227,,,20,23,2,14,6,162,12,2,9,88,72,16,,,,,,1,1,1,,26
,,Spotsylvania,,"1,358",169,"1,147",42,2,2,,,30,133,36,8,4,85,,,,11,,237,74,740,56,,629,379,245,4,1,,"2,009",,7,480,552,3,499,49,419,123,62,30,"1,004",931,73,,,,,,11,6,6,,105
,,Stafford,,"1,208",130,"1,034",44,3,2,,1,27,92,23,11,8,50,4,2,2,19,,233,82,"1,392",42,1,606,198,238,168,,2,"2,017",2,2,423,451,4,514,96,525,101,40,27,839,809,30,2,,1,1,,17,10,7,3,94
,,Sussex,,68,7,56,5,1,1,,,2,9,1,3,,5,,,,3,,36,2,42,2,,10,3,2,5,,,89,,,15,7,,13,4,50,11,6,1,52,49,3,,,,,,,,,,8
,,Warren,,121,10,107,4,,,,,1,21,7,2,1,11,,,,,,49,8,134,2,,39,16,16,3,,4,314,,2,102,12,,25,6,167,14,1,,85,74,11,,,,,,4,1,,1,21
,,Washington,,291,27,249,15,,,,,10,39,13,4,4,18,2,,2,4,,166,30,222,11,2,152,64,41,45,,2,686,,,132,15,,49,27,463,56,1,3,157,156,1,,,,,,8,,,,38
,,York,,492,65,373,54,,,,,13,25,2,18,2,3,,,,12,,126,41,502,60,,265,94,158,8,,5,"1,203",,1,305,96,,277,45,479,28,16,13,240,233,7,,,,,,5,,,,33
,Nonmetropolitan Counties,Accomack,,298,25,273,,2,2,,,,18,5,5,1,7,,,,2,,159,16,255,8,2,24,5,16,,,3,320,,1,55,15,,16,14,219,12,11,,25,25,,,,,,,1,,,,11
